,ZIP Code,latitude,longitude,city,state,county
0,00501,40.922326,-72.637078,Holtsville,NY,Suffolk
1,00544,40.922326,-72.637078,Holtsville,NY,Suffolk
2,00601,18.165273000000003,-66.722583,Adjuntas,PR,Adjuntas
3,00602,18.393103,-67.180953,Aguada,PR,Aguada
4,00603,18.455913,-67.14578,Aguadilla,PR,Aguadilla
5,00604,18.49352,-67.13588299999999,Aguadilla,PR,Aguadilla
6,00605,18.465162,-67.141486,Aguadilla,PR,Aguadilla
7,00606,18.172947,-66.94411099999999,Maricao,PR,Maricao
8,00610,18.288685,-67.139696,Anasco,PR,Anasco
9,00611,18.279531,-66.80216999999999,Angeles,PR,Utuado
10,00612,18.450674,-66.698262,Arecibo,PR,Arecibo
11,00613,18.458092999999998,-66.732732,Arecibo,PR,Arecibo
12,00614,18.429675,-66.67450600000001,Arecibo,PR,Arecibo
13,00616,18.444792,-66.64067800000001,Bajadero,PR,Arecibo
14,00617,18.447092,-66.544255,Barceloneta,PR,Barceloneta
15,00622,17.998531,-67.187318,Boqueron,PR,Cabo Rojo
16,00623,18.062201,-67.149541,Cabo Rojo,PR,Cabo Rojo
17,00624,18.023535,-66.726156,Penuelas,PR,Penuelas
18,00627,18.477891,-66.85477,Camuy,PR,Camuy
19,00631,18.269187,-66.864993,Castaner,PR,Lares
20,00636,18.113284,-67.03970600000001,Rosario,PR,San German
21,00637,18.087322,-66.934911,Sabana Grande,PR,Sabana Grande
22,00638,18.33616,-66.472087,Ciales,PR,Ciales
23,00641,18.250027,-66.698957,Utuado,PR,Utuado
24,00646,18.43606,-66.281954,Dorado,PR,Dorado
25,00647,17.969594,-66.93975400000001,Ensenada,PR,Guanica
26,00650,18.360125,-66.562311,Florida,PR,Florida
27,00652,18.457254000000002,-66.603358,Garrochales,PR,Arecibo
28,00653,17.972468,-66.898661,Guanica,PR,Guanica
29,00656,18.02328,-66.786909,Guayanilla,PR,Guayanilla
30,00659,18.481391000000002,-66.808696,Hatillo,PR,Hatillo
31,00660,18.145486,-67.135323,Hormigueros,PR,Hormigueros
32,00662,18.480285000000002,-67.028155,Isabela,PR,Isabela
33,00664,18.217606,-66.59830600000001,Jayuya,PR,Jayuya
34,00667,18.015099,-67.055973,Lajas,PR,Lajas
35,00669,18.295952,-66.881925,Lares,PR,Lares
36,00670,18.252135,-66.990967,Las Marias,PR,Las Marias
37,00674,18.445529999999998,-66.490268,Manati,PR,Manati
38,00676,18.383727,-67.080799,Moca,PR,Moca
39,00677,18.335781,-67.25254699999999,Rincon,PR,Rincon
40,00678,18.45303,-66.933689,Quebradillas,PR,Quebradillas
41,00680,18.219023,-67.50806800000001,Mayaguez,PR,Mayaguez
42,00681,18.219023,-67.50806800000001,Mayaguez,PR,Mayaguez
43,00682,18.219023,-67.50806800000001,Mayaguez,PR,Mayaguez
44,00683,18.113284,-67.03970600000001,San German,PR,San German
45,00685,18.3236,-66.972227,San Sebastian,PR,San Sebastian
46,00687,18.316976,-66.415207,Morovis,PR,Morovis
47,00688,18.429675,-66.67450600000001,Sabana Hoyos,PR,Arecibo
48,00690,18.476195999999998,-67.139597,San Antonio,PR,Aguadilla
49,00692,18.435817999999998,-66.338523,Vega Alta,PR,Vega Alta
50,00693,18.443109,-66.398302,Vega Baja,PR,Vega Baja
51,00694,18.443109,-66.398302,Vega Baja,PR,Vega Baja
52,00698,18.06104,-66.861164,Yauco,PR,Yauco
53,00703,18.250398,-66.12845,Aguas Buenas,PR,Aguas Buenas
54,00704,17.99229,-66.139253,Aguirre,PR,Guayama
55,00705,18.128092000000002,-66.26871700000001,Aibonito,PR,Aibonito
56,00707,18.007014,-65.898719,Maunabo,PR,Maunabo
57,00714,17.96751,-66.04138,Arroyo,PR,Arroyo
58,00715,18.011854,-66.563721,Mercedita,PR,Ponce
59,00716,18.001995,-66.60742900000001,Ponce,PR,Ponce
60,00717,18.001995,-66.60742900000001,Ponce,PR,Ponce
61,00718,18.22139,-65.77831,Naguabo,PR,Naguabo
62,00719,18.298017,-66.22975100000001,Naranjito,PR,Naranjito
63,00720,18.226862,-66.39402,Orocovis,PR,Orocovis
64,00721,18.364161,-65.778288,Palmer,PR,Rio Grande
65,00723,18.009994,-66.010572,Patillas,PR,Patillas
